
(0, 0.00126529)
(1, 0.00151835)
(2, 0.00168705)
(3, 0.0017714)
(4, 0.00194011)
(5, 0.00185576)
(6, 0.00185576)
(7, 0.00185576)
(8, 0.00185576)
(9, 0.00185576)
(10, 0.00194011)
(11, 0.00210881)
(12, 0.00210881)
(13, 0.00210881)
(14, 0.00219317)
(15, 0.00227752)
(16, 0.00236187)
(17, 0.00261493)
(18, 0.00269928)
(19, 0.00269928)
(20, 0.00269928)
(21, 0.00269928)
(22, 0.00269928)
(23, 0.00269928)
(24, 0.00269928)
(25, 0.00269928)
(26, 0.00269928)
(27, 0.00269928)
(28, 0.00269928)
(29, 0.00269928)
(30, 0.00269928)
(31, 0.00269928)
(32, 0.147027)
(33, 0.148545)
(34, 0.148629)
(35, 0.148629)
(36, 0.149388)
(37, 0.150654)
(38, 0.151244)
(39, 0.151244)
(40, 0.151413)
(41, 0.151835)
(42, 0.152256)
(43, 0.1531)
(44, 0.153943)
(45, 0.154028)
(46, 0.154534)
(47, 0.155124)
(48, 0.155377)
(49, 0.156137)
(50, 0.156221)
(51, 0.156727)
(52, 0.15698)
(53, 0.157486)
(54, 0.157486)
(55, 0.157318)
(56, 0.158077)
(57, 0.158583)
(58, 0.158836)
(59, 0.159342)
(60, 0.159426)
(61, 0.160017)
(62, 0.16027)
(63, 0.160692)
(64, 0.161029)
(65, 0.160945)
(66, 0.161198)
(67, 0.161451)
(68, 0.161957)
(69, 0.162632)
(70, 0.163222)
(71, 0.164319)
(72, 0.164403)
(73, 0.165162)
(74, 0.165922)
(75, 0.166765)
(76, 0.16744)
(77, 0.168115)
(78, 0.168283)
(79, 0.168283)
(80, 0.16879)
(81, 0.168874)
(82, 0.168958)
(83, 0.169717)
(84, 0.170561)
(85, 0.171236)
(86, 0.171067)
(87, 0.171404)
(88, 0.171489)
(89, 0.171911)
(90, 0.172417)
(91, 0.17267)
(92, 0.173007)
(93, 0.173682)
(94, 0.174779)
(95, 0.174947)
(96, 0.176128)
(97, 0.176887)
(98, 0.177225)
(99, 0.177478)
(100, 0.178153)
(101, 0.177984)
(102, 0.17849)
(103, 0.179334)
(104, 0.180008)
(105, 0.180683)
(106, 0.181442)
(107, 0.181611)
(108, 0.181527)
(109, 0.182286)
(110, 0.182961)
(111, 0.182623)
(112, 0.183214)
(113, 0.183636)
(114, 0.184395)
(115, 0.184901)
(116, 0.184901)
(117, 0.185407)
(118, 0.185913)
(119, 0.186166)
(120, 0.186841)
(121, 0.186841)
(122, 0.187853)
(123, 0.187853)
(124, 0.188106)
(125, 0.188022)
(126, 0.188444)
(127, 0.189372)
(128, 0.189456)
(129, 0.189625)
(130, 0.190637)
(131, 0.190806)
(132, 0.191312)
(133, 0.191733)
(134, 0.192155)
(135, 0.192999)
(136, 0.193083)
(137, 0.193927)
(138, 0.194348)
(139, 0.193927)
(140, 0.194348)
(141, 0.194854)
(142, 0.195192)
(143, 0.195614)
(144, 0.195445)
(145, 0.195867)
(146, 0.196626)
(147, 0.197301)
(148, 0.197638)
(149, 0.198566)
(150, 0.198735)
(151, 0.199156)
(152, 0.199747)
(153, 0.19941)
(154, 0.199747)
(155, 0.200253)
(156, 0.200844)
(157, 0.201265)
(158, 0.20194)
(159, 0.202193)
(160, 0.203205)
(161, 0.20329)
(162, 0.203458)
(163, 0.20329)
(164, 0.203712)
(165, 0.204133)
(166, 0.204386)
(167, 0.204639)
(168, 0.205652)
(169, 0.206326)
(170, 0.206917)
(171, 0.20717)
(172, 0.208013)
(173, 0.208267)
(174, 0.208182)
