
(0, 0.0884859)
(1, 0.118768)
(2, 0.130072)
(3, 0.13817)
(4, 0.144412)
(5, 0.152256)
(6, 0.158752)
(7, 0.16609)
(8, 0.171404)
(9, 0.174272)
(10, 0.179334)
(11, 0.183551)
(12, 0.187094)
(13, 0.188444)
(14, 0.191227)
(15, 0.193505)
(16, 0.195108)
(17, 0.196288)
(18, 0.196373)
(19, 0.197554)
(20, 0.199072)
(21, 0.20194)
(22, 0.204218)
(23, 0.206495)
(24, 0.208688)
(25, 0.209447)
(26, 0.210713)
(27, 0.21105)
(28, 0.212484)
(29, 0.214256)
(30, 0.216786)
(31, 0.219148)
(32, 0.220245)
(33, 0.221172)
(34, 0.223703)
(35, 0.226402)
(36, 0.227752)
(37, 0.229186)
(38, 0.230367)
(39, 0.230957)
(40, 0.232898)
(41, 0.234247)
(42, 0.236187)
(43, 0.23838)
(44, 0.240152)
(45, 0.241923)
(46, 0.243273)
(47, 0.244116)
(48, 0.24555)
(49, 0.246984)
(50, 0.247322)
(51, 0.248587)
(52, 0.250443)
(53, 0.251371)
(54, 0.252889)
(55, 0.25407)
(56, 0.255841)
(57, 0.257107)
(58, 0.258035)
(59, 0.260312)
(60, 0.26183)
(61, 0.262505)
(62, 0.264698)
(63, 0.266301)
(64, 0.268157)
(65, 0.269422)
(66, 0.269928)
(67, 0.270603)
(68, 0.271194)
(69, 0.271953)
(70, 0.272628)
(71, 0.273893)
(72, 0.275749)
(73, 0.276592)
(74, 0.278701)
(75, 0.279798)
(76, 0.280051)
(77, 0.281569)
(78, 0.28275)
(79, 0.282919)
(80, 0.28469)
(81, 0.285196)
(82, 0.287642)
(83, 0.288064)
(84, 0.288486)
(85, 0.289329)
(86, 0.290004)
(87, 0.291607)
(88, 0.292535)
(89, 0.2938)
(90, 0.294306)
(91, 0.295993)
(92, 0.297259)
(93, 0.297765)
(94, 0.299958)
(95, 0.300801)
(96, 0.301223)
(97, 0.302067)
(98, 0.302404)
(99, 0.303079)
(100, 0.303585)
(101, 0.304513)
(102, 0.305863)
(103, 0.305609)
(104, 0.306706)
(105, 0.307465)
(106, 0.308646)
(107, 0.309743)
(108, 0.310755)
(109, 0.312695)
(110, 0.313623)
(111, 0.314298)
(112, 0.315057)
(113, 0.315816)
(114, 0.316997)
(115, 0.316744)
(116, 0.317588)
(117, 0.318178)
(118, 0.319528)
(119, 0.320793)
(120, 0.321721)
(121, 0.322143)
(122, 0.323155)
(123, 0.323323)
(124, 0.323998)
(125, 0.324926)
(126, 0.325601)
(127, 0.326107)
(128, 0.326613)
(129, 0.327119)
(130, 0.327457)
(131, 0.328385)
(132, 0.329059)
(133, 0.329734)
(134, 0.329734)
(135, 0.331084)
(136, 0.331506)
(137, 0.332687)
(138, 0.333868)
(139, 0.334795)
(140, 0.335048)
(141, 0.335555)
(142, 0.337157)
(143, 0.33741)
(144, 0.338085)
(145, 0.338254)
(146, 0.338001)
(147, 0.338423)
(148, 0.339097)
(149, 0.339182)
(150, 0.33935)
(151, 0.3407)
(152, 0.341797)
(153, 0.342809)
(154, 0.343652)
(155, 0.344918)
(156, 0.345508)
(157, 0.34593)
(158, 0.345761)
(159, 0.346267)
(160, 0.346605)
(161, 0.347111)
(162, 0.34728)
(163, 0.347786)
(164, 0.347786)
(165, 0.348039)
(166, 0.348629)
(167, 0.349051)
(168, 0.349726)
(169, 0.350232)
(170, 0.350569)
(171, 0.351076)
(172, 0.351582)
(173, 0.352341)
(174, 0.352763)
(175, 0.353016)
(176, 0.353522)
(177, 0.35369)
(178, 0.354365)
(179, 0.355124)
(180, 0.355209)
(181, 0.355293)
(182, 0.355799)
(183, 0.356305)
(184, 0.35639)
